2017102105,nba.g.1947377,nba.t.5,nba.t.19,https://sports.yahoo.com/nba/orlando-magic-cleveland-cavaliers-2017102105/,Sun, 22 Oct 2017 00:00:00,4608
2017102118,nba.g.1947555,nba.t.18,nba.t.8,https://sports.yahoo.com/nba/detroit-pistons-new-york-knicks-2017102118/,Sun, 22 Oct 2017 00:00:00,4608
2017102110,nba.g.1947672,nba.t.10,nba.t.6,https://sports.yahoo.com/nba/dallas-mavericks-houston-rockets-2017102110/,Sun, 22 Oct 2017 00:00:00,4608
2017102129,nba.g.1947673,nba.t.29,nba.t.9,https://sports.yahoo.com/nba/golden-state-warriors-memphis-grizzlies-2017102129/,Sun, 22 Oct 2017 00:00:00,4608
2017102114,nba.g.1947791,nba.t.14,nba.t.11,https://sports.yahoo.com/nba/indiana-pacers-miami-heat-2017102114/,Sun, 22 Oct 2017 00:00:00,4608
2017102115,nba.g.1948099,nba.t.15,nba.t.22,https://sports.yahoo.com/nba/portland-trail-blazers-milwaukee-bucks-2017102115/,Sun, 22 Oct 2017 00:30:00,4608
2017102126,nba.g.1947151,nba.t.26,nba.t.25,https://sports.yahoo.com/nba/oklahoma-city-thunder-utah-jazz-2017102126/,Sun, 22 Oct 2017 01:00:00,4608
2017102107,nba.g.1947848,nba.t.7,nba.t.23,https://sports.yahoo.com/nba/sacramento-kings-denver-nuggets-2017102107/,Sun, 22 Oct 2017 01:00:00,4608
2017102112,nba.g.1947994,nba.t.12,nba.t.21,https://sports.yahoo.com/nba/phoenix-suns-los-angeles-clippers-2017102112/,Sun, 22 Oct 2017 02:30:00,4608
2017102104,nba.g.1947144,nba.t.4,nba.t.24,https://sports.yahoo.com/nba/san-antonio-spurs-chicago-bulls-2017102104/,Sun, 22 Oct 2017 00:00:00,4609
2017102105,nba.g.1947377,nba.t.5,nba.t.19,https://sports.yahoo.com/nba/orlando-magic-cleveland-cavaliers-2017102105/,Sun, 22 Oct 2017 00:00:00,4609
2017102118,nba.g.1947555,nba.t.18,nba.t.8,https://sports.yahoo.com/nba/detroit-pistons-new-york-knicks-2017102118/,Sun, 22 Oct 2017 00:00:00,4609
2017102110,nba.g.1947672,nba.t.10,nba.t.6,https://sports.yahoo.com/nba/dallas-mavericks-houston-rockets-2017102110/,Sun, 22 Oct 2017 00:00:00,4609
2017102129,nba.g.1947673,nba.t.29,nba.t.9,https://sports.yahoo.com/nba/golden-state-warriors-memphis-grizzlies-2017102129/,Sun, 22 Oct 2017 00:00:00,4609
2017102114,nba.g.1947791,nba.t.14,nba.t.11,https://sports.yahoo.com/nba/indiana-pacers-miami-heat-2017102114/,Sun, 22 Oct 2017 00:00:00,4609
2017102115,nba.g.1948099,nba.t.15,nba.t.22,https://sports.yahoo.com/nba/portland-trail-blazers-milwaukee-bucks-2017102115/,Sun, 22 Oct 2017 00:30:00,4609
2017102126,nba.g.1947151,nba.t.26,nba.t.25,https://sports.yahoo.com/nba/oklahoma-city-thunder-utah-jazz-2017102126/,Sun, 22 Oct 2017 01:00:00,4609
2017102107,nba.g.1947848,nba.t.7,nba.t.23,https://sports.yahoo.com/nba/sacramento-kings-denver-nuggets-2017102107/,Sun, 22 Oct 2017 01:00:00,4609
2017102112,nba.g.1947994,nba.t.12,nba.t.21,https://sports.yahoo.com/nba/phoenix-suns-los-angeles-clippers-2017102112/,Sun, 22 Oct 2017 02:30:00,4609
2017102126,nba.g.1947151,nba.t.26,nba.t.25,https://sports.yahoo.com/nba/oklahoma-city-thunder-utah-jazz-2017102126/,Sun, 22 Oct 2017 01:00:00,4610
2017102107,nba.g.1947848,nba.t.7,nba.t.23,https://sports.yahoo.com/nba/sacramento-kings-denver-nuggets-2017102107/,Sun, 22 Oct 2017 01:00:00,4610
2017102112,nba.g.1947994,nba.t.12,nba.t.21,https://sports.yahoo.com/nba/phoenix-suns-los-angeles-clippers-2017102112/,Sun, 22 Oct 2017 02:30:00,4610
2017102217,nba.g.1947341,nba.t.17,nba.t.1,https://sports.yahoo.com/nba/atlanta-hawks-brooklyn-nets-2017102217/,Sun, 22 Oct 2017 19:30:00,4615
2017102225,nba.g.1947699,nba.t.25,nba.t.16,https://sports.yahoo.com/nba/minnesota-timberwolves-oklahoma-city-thunder-2017102225/,Sun, 22 Oct 2017 23:00:00,4615
2017102213,nba.g.1947176,nba.t.13,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-los-angeles-lakers-2017102213/,Mon, 23 Oct 2017 01:30:00,4615
2017102225,nba.g.1947699,nba.t.25,nba.t.16,https://sports.yahoo.com/nba/minnesota-timberwolves-oklahoma-city-thunder-2017102225/,Sun, 22 Oct 2017 23:00:00,4616
2017102213,nba.g.1947176,nba.t.13,nba.t.3,https://sports.yahoo.com/nba/new-orleans-pelicans-los-angeles-lakers-2017102213/,Mon, 23 Oct 2017 01:30:00,4616
