ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6270,Nicolo,Melli,PF,NO,CHI,NO@CHI,8:00PM EST,10,12.0," "," "
nba.p.6297,Jalen,Adams,PG,NO,CHI,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.6298,Kavell,Bigby-Williams,C,NO,CHI,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.6299,Aubrey,Dawkins,SG,NO,CHI,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.6306,Javon,Bess,SG,NO,CHI,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.4290,Thaddeus,Young,PF,CHI,NO,NO@CHI,8:00PM EST,19,20.7," "," "
nba.p.5066,Tomas,Satoransky,PG,CHI,NO,NO@CHI,8:00PM EST,15,25.0,GTD," "
nba.p.5154,Otto,Porter Jr.,SF,CHI,NO,NO@CHI,8:00PM EST,10,20.9,INJ," "
nba.p.5324,Zach,LaVine,SG,CHI,NO,NO@CHI,8:00PM EST,38,39.3," "," "
nba.p.5522,Cristiano,Felicio,C,CHI,NO,NO@CHI,8:00PM EST,10,10.0," "," "
nba.p.5636,Kris,Dunn,SF,CHI,NO,NO@CHI,8:00PM EST,18,22.4,INJ," "
nba.p.5645,Denzel,Valentine,SF,CHI,NO,NO@CHI,8:00PM EST,10,11.6,GTD," "
nba.p.5695,Ryan,Arcidiacono,SG,CHI,NO,NO@CHI,8:00PM EST,10,9.0,GTD," "
nba.p.5746,Shaquille,Harrison,PG,CHI,NO,NO@CHI,8:00PM EST,10,7.7," "," "
nba.p.5769,Lauri,Markkanen,PF,CHI,NO,NO@CHI,8:00PM EST,10,27.5,INJ," "
nba.p.5876,Antonio,Blakeney,PG,CHI,NO,NO@CHI,8:00PM EST,10,11.2," "," "
nba.p.5884,Milton,Doyle,PG,CHI,NO,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.5903,Luke,Kornet,C,CHI,NO,NO@CHI,8:00PM EST,12,12.5," "," "
nba.p.6018,Wendell,Carter Jr.,C,CHI,NO,NO@CHI,8:00PM EST,10,28.8,INJ," "
nba.p.6033,Chandler,Hutchison,SF,CHI,NO,NO@CHI,8:00PM EST,10,15.5,GTD," "
nba.p.6151,Brandon,Sampson,PG,CHI,NO,NO@CHI,8:00PM EST,10,9.0," "," "
nba.p.6169,Coby,White,PG,CHI,NO,NO@CHI,8:00PM EST,10,19.4," "," "
nba.p.6226,Daniel,Gafford,C,CHI,NO,NO@CHI,8:00PM EST,10,12.2,GTD," "
nba.p.6252,Adam,Mokoka,SG,CHI,NO,NO@CHI,8:00PM EST,10,1.6," "," "
nba.p.6267,Max,Strus,SG,CHI,NO,NO@CHI,8:00PM EST,10,3.1,INJ," "
nba.p.6319,Simi,Shittu,C,CHI,NO,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.6331,Justin,Simon,SG,CHI,NO,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.6332,Perrion,Callandret,PG,CHI,NO,NO@CHI,8:00PM EST,10,0.0," "," "
nba.p.3512,Tyson,Chandler,C,HOU,LAL,HOU@LAL,10:30PM EST,10,6.2," "," "
nba.p.3605,Nene,Hilario,C,ATL,LAL,HOU@LAL,10:30PM EST,10,9.9,INJ," "
nba.p.3944,Gerald,Green,SF,DEN,LAL,HOU@LAL,10:30PM EST,10,13.7,INJ," "
nba.p.4141,Thabo,Sefolosha,PF,HOU,LAL,HOU@LAL,10:30PM EST,10,8.2," "," "
nba.p.4163,P.J.,Tucker,PF,HOU,LAL,HOU@LAL,10:30PM EST,16,22.4," "," "
nba.p.4390,Russell,Westbrook,PG,HOU,LAL,HOU@LAL,10:30PM EST,50,48.8," "," "
nba.p.4469,Eric,Gordon,SF,HOU,LAL,HOU@LAL,10:30PM EST,21,22.3," "," "
nba.p.4563,James,Harden,SG,HOU,LAL,HOU@LAL,10:30PM EST,56,58.0," "," "
nba.p.4904,Kenneth,Faried,C,HOU,LAL,HOU@LAL,10:30PM EST,10,20.0," "," "
nba.p.5016,Austin,Rivers,PG,HOU,LAL,HOU@LAL,10:30PM EST,13,16.2," "," "
nba.p.5152,Anthony,Bennett,SF,HOU,LAL,HOU@LAL,10:30PM EST,10,0.0," "," "
nba.p.5158,Ben,McLemore,SG,HOU,LAL,HOU@LAL,10:30PM EST,10,16.3," "," "
nba.p.5336,Clint,Capela,C,ATL,LAL,HOU@LAL,10:30PM EST,27,38.7,INJ," "
nba.p.5542,Michael,Frazier,SG,HOU,LAL,HOU@LAL,10:30PM EST,10,3.8," "," "
nba.p.5728,Danuel,House Jr.,SF,HOU,LAL,HOU@LAL,10:30PM EST,19,21.9," "," "
nba.p.5856,Isaiah,Hartenstein,PF,HOU,LAL,HOU@LAL,10:30PM EST,10,13.2," "," "
nba.p.5872,Jaron,Blossomgame,SF,HOU,LAL,HOU@LAL,10:30PM EST,10,10.6," "," "
nba.p.6063,Vincent,Edwards,SF,HOU,LAL,HOU@LAL,10:30PM EST,10,2.7," "," "
nba.p.6075,Trevon,Duval,PG,HOU,LAL,HOU@LAL,10:30PM EST,10,3.1," "," "
nba.p.6262,William,Howard,SF,HOU,LAL,HOU@LAL,10:30PM EST,10,0.0," "," "
nba.p.6312,Chris,Clemons,PG,HOU,LAL,HOU@LAL,10:30PM EST,10,7.7," "," "
nba.p.6313,William,McDowell-White,SG,HOU,LAL,HOU@LAL,10:30PM EST,10,0.0,O," "
nba.p.6350,Matur,Maker,C,HOU,LAL,HOU@LAL,10:30PM EST,10,0.0," "," "
nba.p.3704,LeBron,James,PG,LAL,HOU,HOU@LAL,10:30PM EST,54,51.9," "," "
nba.p.3818,Dwight,Howard,C,LAL,HOU,HOU@LAL,10:30PM EST,17,22.2," "," "
nba.p.4149,Rajon,Rondo,PG,LAL,HOU,HOU@LAL,10:30PM EST,11,20.7," "," "
nba.p.4300,Jared,Dudley,SF,LAL,HOU,HOU@LAL,10:30PM EST,10,4.8," "," "
nba.p.4480,JaVale,McGee,C,LAL,HOU,HOU@LAL,10:30PM EST,13,21.2," "," "
nba.p.4651,Danny,Green,SF,LAL,HOU,HOU@LAL,10:30PM EST,11,19.3," "," "
nba.p.4720,DeMarcus,Cousins,C,LAL,HOU,HOU@LAL,10:30PM EST,10,33.5,INJ," "
nba.p.4750,Avery,Bradley,SG,LAL,HOU,HOU@LAL,10:30PM EST,10,13.8," "," "
nba.p.5007,Anthony,Davis,PF,LAL,HOU,HOU@LAL,10:30PM EST,49,51.5," "," "
nba.p.5159,Kentavious,Caldwell-Pope,SG,LAL,HOU,HOU@LAL,10:30PM EST,10,17.1," "," "
nba.p.5282,Troy,Daniels,SG,LAL,HOU,HOU@LAL,10:30PM EST,10,6.9," "," "
nba.p.5420,David,Stockton,PG,LAL,HOU,HOU@LAL,10:30PM EST,10,0.0,O," "
nba.p.5588,Quinn,Cook,PG,LAL,HOU,HOU@LAL,10:30PM EST,10,8.5," "," "
nba.p.5676,Demetrius,Jackson,PG,LAL,HOU,HOU@LAL,10:30PM EST,10,6.4,O," "
nba.p.5754,Alex,Caruso,SG,LAL,HOU,HOU@LAL,10:30PM EST,10,13.5," "," "
nba.p.5840,Kyle,Kuzma,PF,LAL,HOU,HOU@LAL,10:30PM EST,17,20.5," "," "
nba.p.5944,Reggie,Hearn,SG,LAL,HOU,HOU@LAL,10:30PM EST,10,0.0," "," "
nba.p.6071,Kostas,Antetokounmpo,SF,LAL,HOU,HOU@LAL,10:30PM EST,10,0.9," "," "
nba.p.6234,Talen,Horton-Tucker,SF,LAL,HOU,HOU@LAL,10:30PM EST,10,3.0," "," "
nba.p.6265,Jordan,Caroline,SF,LAL,HOU,HOU@LAL,10:30PM EST,10,0.0," "," "
nba.p.6292,Devontae,Cacok,PF,LAL,HOU,HOU@LAL,10:30PM EST,10,0.0," "," "
nba.p.6352,Marcus,Allen,PG,LAL,HOU,HOU@LAL,10:30PM EST,10,0.0," "," "
nba.p.5253,Robert,Covington,SF,HOU,LAL,HOU@LAL,10:30PM EST,20,28.0," "," "
nba.p.5851,Jordan,Bell,PF,HOU,LAL,HOU@LAL,10:30PM EST,10,8.0,GTD," "
